PREGUNTA,A,B,C,D,E,F,RESPUESTA_CORRECTA
"What allows a user to limit the number of credits consumed within a Snowflake account?","A. Tracking account usage","B. Creating resource monitors  ","C. Automatic virtual warehouse scaling","D. Automatic clustering","","","B"
"Which statement accurately describes Snowflake's architecture?","A. It uses a local data repository for all compute nodes in the platform.","B. It is a blend of shared-disk and shared-everything database architectures.","C. It is a hybrid of traditional shared-disk and shared-nothing database architectures.  ","D. It reorganizes loaded data into internal optimized, compressed, and row-based format.","","","C"
"Which Snowflake SQL command is used to get a subset of rows randomly from a table?","A. GENERATOR","B. LATERAL","C. PIVOT","D. SAMPLE","","","D"
"Which statement accurately describes how a virtual warehouse functions?","A. Increasing the size of a virtual warehouse will always improve data loading performance.","B. Each virtual warehouse is an independent compute cluster that shares compute resources with other warehouses.","C. Each virtual warehouse is a compute cluster composed of multiple compute nodes allocated by Snowflake from a cloud provider.  ","D. All virtual warehouses share the same compute resources so performance degradation of one warehouse can significantly affect all the other warehouses.","","","C"
"Which Snowflake object can be used to record DML changes made to a table?","A. Snowpipe","B. Stage","C. Stream  ","D. Task","","","C"
"Which statistic displayed in a Query Profile is specific to external functions?","A. Bytes written","B. Total invocations  ","C. Partitions scanned","D. Bytes sent over the network","","","B"
"If there is queueing in the virtual warehouse load monitoring chart, what should a Snowflake user do?","A. Decrease the warehouse size.","B. Decrease the MIN_CLUSTER_COUNT parameter.","C. Change the multi-cluster settings to add additional clusters.  ","D. Start a separate warehouse and move queued queries there.","","","D"
"Which command is used to generate a zero-copy snapshot of any table, schema, or database?","A. ALTER","B. CREATE ... CLONE","C. COPY INTO","D. CREATE REPLICATION GROUP","","","B"
"How long is the load history stored in the metadata of the pipe in Snowpipe?","A. 2 days","B. 7 days","C. 14 days","D. 64 days","","","C"
"What are the key characteristics of ACСOUNT_USAGE views? (Choose two.)","A. There is no data latency.","B. The data latency can vary from 45 minutes to 3 hours.","C. The historical data is not retained.","D. The historical data can be retained from 7 days to 6 months.","E. Records for dropped objects are included in each view.","",""
"How does a scoped URL expire?","A. When the data cache clears.","B. When the persisted query result period ends.","C. The encoded URL access is permanent.","D. The length of time is specified in the expiration_time argument.","","","B"
"What are the available Snowflake scaling modes for configuring multi-cluster virtual warehouses? (Choose two.)","A. Auto-Scale","B. Economy","C. Maximized","D. Scale-Out","E. Standard","","A,C"
"Which loop type iterates until a condition is true?","A. FOR","B. LOOP","C. REPEAT","D. WHILE","","","C"
"Which property needs to be added to the ALTER WAREHOUSE command to verify the additional compute resources for a virtual warehouse have been fully provisioned?","A. QUERY_ACCELERATION_MAX_SCALE_FACTOR","B. RESOURCE_MONITOR","C. SCALING_POLICY","D. WAIT_FOR_COMPLETION  ","","","D"
"How is enhanced authentication achieved in Snowflake? (Choose two.)","","B. Snowflake-managed keys","C. Object level access control","D. Multi-Factor Authentication (MFA)","E. Federated authentication and Single Sign-On (SSO)","","D,E"
"What are the native data types that Snowflake provides to store semi-structured data? (Choose two.)","A. ARRAY","B. JSON","C. ORC","D. Parquet","E. VARIANT","","A,E"
"How long is the Fail-safe period for recovering historical data from permanent tables?","A. 1 day","B. 3 days","C. 7 days","D. 14 days","","","C"
"What does the average_overlaps in the output of SYSTEM$CLUSTERING_INFORMATION refer to?","A. The average number of micro-partitions stored in Time Travel.","B. The average number of partitions physically stored in the same location.","C. The average number of micro-partitions which contain overlapping value ranges.  ","D. The average number of micro-partitions in the table associated with cloned objects.","","","C"
"If queries start to queue in a multi-cluster virtual warehouse an additional compute cluster starts immediately under what setting?","A. Auto-scale mode","B. Maximized mode","C. Economy scaling policy","D. Standard scaling policy  ","","","D"
"When floating-point number columns are unloaded to CSV or JSON files, Snowflake truncates the values to approximately what?","A. (12,2)","B. (10,4)","C. (14,8)","D. (15,9)  ","","","D"
"By definition, a secure view is exposed only to users with what privilege?","A. IMPORT SHARE","B. OWNERSHIP","C. REFERENCES","D. USAGE","","","B"
"What happens when a user exits Snowsight during a session that a query is running?","A. Snowflake executes the query during the same session immediately.","B. Snowflake cancels any queries submitted during this session that are still running.  ","C. Snowflake will cancel any queries submitted during this session after 24 hours.","D. Snowflake will continue to execute and complete upon the next login.  ","","","A"
"Which native data types are used for storing semi-structured data in Snowflake? (Choose two.)","A. NUMBER","B. OBJECT","C. STRING","D. VARCHAR","E. VARIANT","","B,E"
"Which columns are available in the output of a Snowflake directory table? (Choose two.)","A. CATALOG_NAME","B. FILE_NAME","C. LAST_MODIFIED  ","D. RELATIVE_PATH  ","E. STAGE_NAME","","C,D"
"What is used to diagnose and troubleshoot network connections to Snowflake?","A. SnowCD","B. Snowpark","C. Snowsight","D. SnowSQL","","","A"
"What Snowflake object records Data Manipulation Language (DML) changes so that actions can be taken using the changed data?","A. Pipe","B. Stream","C. Task","D. View","","","B"
"By default, the COPY INTO  statement will separate table data into a set of output files to take advantage of which Snowflake feature?","A. Query acceleration","B. Query plan caching","C. Parallel processing","D. Time Travel","","","C"
"Which command can be used to view the allowed and blocked IP list of a network policy?","A. ALTER NETWORK POLICY","B. CREATE NETWORK POLICY","C. DESCRIBE NETWORK POLICY","D. SHOW NETWORK POLICIES","","","C"
"Which file functions are non-deterministic? (Choose two.)","A. BUILD_SCOPED_FILE_URL","B. BUILD_STAGE_FILE_URL","C. GET_ABSOLUTE_PATH","D. GET_PRESIGNED_URL","E. GET_RELATIVE_PATH","","A,D"
"How can a Snowflake user optimize query performance in Snowflake? (Choose two.)","A. Create a view.","B. Cluster a table.  ","C. Enable the search optimization service.  ","D. Enable Time Travel.","E. Index a table.","","B,C"
"What is the MINIMUM role required to set the value for the parameter ENABLE_ACCOUNT_DATABASE_REPLICATION?","A. ACCOUNTADMIN","B. SECURITYADMIN","C. SYSADMIN","D. ORGADMIN  ","","","A"
"Which file format will keep floating-point numbers from being truncated when data is unloaded?","A. CSV","B. JSON","C. ORC","D. Parquet","","","D"
"A user has semi-structured data to load into Snowflake but is not sure what types of operations will need to be performed on the data.Based on this situation, what type of column does Snowflake recommend be used?","A. ARRAY","B. OBJECT","C. TEXT","D. VARIANT","","","D"
"Which Snowflake object helps evaluate virtual warehouse performance impacted by query queuing?","A. Resource monitor","B. Account_usage.query_history  ","C. Information_schema.warehouse_load_history  ","D. Information_schema.warehouse_metering_history","","","C"
"Which Snowflake object can be created to be temporary?","A. Role","B. Stage","C. User","D. Storage integration","","","B"
"Which stream type can be used for tracking the records in external tables?","A. Append-only","B. External","C. Insert-only  ","D. Standard","","","C"
"What is the recommended approach for unloading data to a cloud storage location from Snowflake?","A. Use a third-party tool to unload the data to cloud storage.","B. Unload the data directly to the cloud storage location.  ","C. Unload the data to a local file system, then upload it to cloud storage.","D. Unload the data to a user stage, then upload the data to cloud storage","","","B"
"Which command is used to unload files from an internal or external stage to a local file system?","A. COPY INTO","B. GET  ","C. PUT","D. TRANSFER","","","B"
"A tabular User-Defined Function (UDF) is defined by specifying a return clause that contains which keyword?","A. ROW_NUMBER","B. TABLE","C. TABULAR","D. VALUES","","","B"
"Which SQL statement will require a virtual warehouse to run?","A. SELECT COUNT(*) FROM TBL_EMPLOYEE;","B. ALTER TABLE TBL_EMPLOYEE ADD COLUMN EMP_REGION VARCHAR(20);","C. INSERT INTO TBL_EMPLOYEE(EMP_ID, EMP_NAME, EMP_SALARY, DEPT) VALUES(1, 'Adam', 20000, 'Finance’);  ","D. CREATE OR REPLACE TABLE TBL_EMPLOYEE ( EMP_ID NUMBER, EMP_NAME VARCHAR(30), EMP_SALARY NUMBER, DEPT VARCHAR(20) );","","","C"
"Which REST API can be used with unstructured data?","A. insertFiles","B. insertReport","C. GET /api/files/  ","D. loadHistoryScan","","","C"
"Which query contains a Snowflake hosted file URL in a directory table for a stage named bronzestage?","A. list @bronzestage;","B. select * from directory(@bronzestage);  ","C. select metadata$filename from @bronzestage;","D. select * from table(information_schema.stage_directory_file_registration_history( stage_name=>'bronzestage'));","","","B"
"Which feature is integrated to support Multi-Factor Authentication (MFA) at Snowflake?","A. Authy","B. Duo Security","C. One Login","D. RSA SecurID Access","","","B"
"In which Snowflake layer does Snowflake reorganize data into its internal optimized, compressed, columnar format?","A. Cloud Services","B. Database Storage","C. Query Processing","D. Metadata Management","","","B"
"When can user session variables be accessed in a Snowflake scripting procedure?","A. When the procedure is defined as STRICT.","B. When the procedure is defined to execute as CALLER.  ","C. When the procedure is defined to execute as OWNER.","D. When the procedure is defined with an argument that has the same name and type as the session variable.","","","B"
"What computer language can be selected when creating User-Defined Functions (UDFs) using the Snowpark API?","A. Swift","B. JavaScript","C. Python  ","D. SQL","","","C"
"A user needs to ingest 1 GB of data that is available in an external stage using a COPY INTO command.How can this be done with MAXIMUM performance and the LEAST cost?","A. Ingest the data in a compressed format as a single file.","B. Ingest the data in an uncompressed format as a single file.","C. Split the file into smaller files of 100-250 MB each, compress and ingest each of the smaller files.","D. Split the file into smaller files of 100-250 MB each and ingest each of the smaller files in an uncompressed format.","","","C"
"A Snowflake user has two tables that contain numeric values and is trying to find out which values are present in both tables.Which set operator should be used?","A. INTERSECT  ","B. MERGE","C. MINUS","D. UNION","","","A"
"A view is defined on a permanent table. A temporary table with the same name is created in the same schema as the referenced table.What will the query from the view return?","A. The data from the permanent table.","B. The data from the temporary table.  ","C. An error stating that the view could not be compiled.","D. An error stating that the referenced object could not be uniquely identified.","","","B"
"Which file function generates a Snowflake-hosted file URL to a staged file using the stage name and relative file path as inputs?","A. BUILD_STAGE_FILE_URL","B. GET_ABSOLUTE_PATH","C. GET_RELATIVE_PATH","D. GET_STAGE_LOCATION","","","A"
"Which service or feature in Snowflake is used to improve the performance of certain types of lookup and analytical queries that use an extensive set of WHERE conditions?","A. Data classification","B. Query acceleration service","C. Search optimization service","D. Tagging","","","C"
"What is the name of the SnowSQL file that can store connection information?","A. history","B. config","C. snowsql.cnf","D. snowsql.pubkey","","","B"
"How do secure views compare to non-secure views in Snowflake?","A. Secure views execute slowly compared to non-secure views.  ","B. Non-secure views are preferred over secure views when sharing data.","C. Secure views are similar to materialized views in that they are the most performant.","D. There are no performance differences between secure and non-secure views.","","","A"
"Which type of join will list all rows in the specified table, even if those rows have no match in the other table?","A. Cross join","B. Inner join","C. Natural join","D. Outer join  ","","","D"
"When unloading data to an external stage, what is the MAXIMUM file size supported?","A. 1 GB","B. 5 GB  ","C. 10 GB","D. 16 GB","","","B"
"How long does Snowflake retain information in the ACCESS_HISTORY view?","A. 7 days","B. 14 days","C. 28 days","D. 365 days  ","","","D"
"Which encryption type will enable client-side encryption for a directory table?","A. AES","B. AWS_CSE","C. SNOWFLAKE_SSE","D. SNOWFLAKE_FULL  ","","","D"
"If file format options are specified in multiple locations, the load operation selects which option FIRST to apply in order of precedence?","A. Table definition","B. Stage definition","C. Session level","D. COPY INTO TABLE statement","","","D"
"A complex SQL query involving eight tables with joins is taking a while to execute. The Query Profile shows that all partitions are being scanned.What is causing the query performance issue?","A. Pruning is not being performed efficiently.  ","B. A huge volume of data is being fetched, with many joins applied.","C. Incorrect joins are being used, leading to scanning and pulling too many records.","D. The columns in the micro-partitions need granular ordering based on the dataset.","","","A"
"What does Snowflake's search optimization service support?","A. External tables","B. Materialized views","C. Tables and views that are not protected by row access policies  ","D. Casts on table columns (except for fixed-point numbers cast to strings)","","","C"
"Which table type is no longer available after the close of the session and therefore has no Fail-safe or Time Travel recovery option?","A. External","B. Permanent","C. Temporary  ","D. Transient","","","C"
"How many network policies can be assigned to an account or specific user at a time?","A. One  ","B. Two","C. Three","D. Unlimited","","","A"
"What is a characteristic of a tag associated with a masking policy?","A. A tag can be dropped after a masking policy is assigned.","B. A tag can have only one masking policy for each data type.  ","C. A tag can have multiple masking policies for each data type.","D. A tag can have multiple masking policies with varying data types.","","","B"
"Which clients does Snowflake support Multi-Factor Authentication (MFA) token caching for? (Choose two.)","A. GO driver","B. Node.js driver","C. ODBC driver  ","D. Python connector  ","E. Spark connector","","C,D"
"What is the Snowflake recommended Parquet file size when querying from external tables to optimize the number of parallel scanning operations?","A. 1-16 MB","B. 16-128 MB","C. 100-250 MB","D. 256-512 MB  ","","","D"
"Which data types can be used in a Snowflake table that holds semi-structured data? (Choose two.)","A. ARRAY  ","B. BINARY","C. TEXT","D. VARIANT  ","E. VARCHAR","","A,D"
"Which constraint is enforced in Snowflake?","A. FOREIGN KEY","B. NOT NULL","C. PRIMARY KEY","D. UNIQUE KEY","","","B"
"Which pages are included in the Activity area of Snowsight? (Choose two.)","A. Contacts","B. Sharing settings","C. Copy History  ","D. Query History  ","E. Automatic Clustering History","","C,D"
"When should a user consider disabling auto-suspend for a virtual warehouse? (Choose two.)","A. When users will be using compute at different times throughout a 24/7 period","B. When managing a steady workload","C. When the compute must be available with no delay or lag time","D. When the user does not want to have to manually turn on the warehouse each time it is needed","E. When the warehouse is shared across different teams","","B,C"
"What can a Snowflake user do in the Activity section in Snowsight?","A. Create dashboards.","B. Write and run SQL queries.","C. Explore databases and objects.","D. Explore executed query performance.  ","","","D"
"How does Snowflake reorganize data when it is loaded? (Choose two.)","A. Binary format","B. Columnar format  ","C. Compressed format  ","D. Raw format","E. Zipped format","","B,C"
"Which operations are handled in the Cloud Services layer of Snowflake? (Choose two.)","A. Security  ","B. Data storage","C. Data visualization","D. Query computation","E. Metadata management  ","","A,E"
"At which point is data encrypted when using a PUT command?","A. When it reaches the virtual warehouse","B. When it gets micro-partitioned","C. Before it is sent from the user's machine","D. After it reaches the internal stage","","","C"
"What type of columns does Snowflake recommend to be used as clustering keys? (Choose two.)","A. A VARIANT column","B. A column with very low cardinality","C. A column with very high cardinality","D. A column that is most actively used in selective filters  ","E. A column that is most actively used in join predicates  ","","D,E"
"Which objects together comprise a namespace in Snowflake? (Choose two.)","A. Account","B. Database  ","C. Schema  ","D. Table","E. Virtual warehouse","","B,C"
"What statistical information in a Query Profile indicates that the query is too large to fit in memory? (Choose two.)","A. Bytes spilled to local cache.","B. Bytes spilled to local storage.  ","C. Bytes spilled to remote cache.","D. Bytes spilled to remote storage.  ","E. Bytes spilled to remote metastore.","","B,D"
"How do Snowflake data providers share data that resides in different databases?","A. External tables","B. Secure views  ","C. Materialized views","D. User-Defined Functions (UDFs)","","","B"
"What operations can be performed while loading a simple CSV file into a Snowflake table using the COPY INTO command? (Choose two.)","A. Performing aggregate calculations","B. Reordering the columns  ","C. Grouping by operations","D. Converting the datatypes  ","E. Selecting the first few rows","","B,D"
"Which commands support a multiple-statement request to access and update Snowflake data? (Choose two.)","A. CALL","B. COMMIT","C. GET","D. PUT","E. ROLLBACK","","B,E"
"Why should a Snowflake user implement a secure view? (Choose two.)","A. To store unstructured data","B. To increase query performance","C. To limit access to sensitive data  ","D. To optimize query concurrency and queuing","E. To hide view definition and details from unauthorized users  ","","C,E"
"At what levels can a resource monitor be configured? (Choose two.)","A. Account  ","B. Database","C. Organization","D. Schema","E. Virtual warehouse  ","","A,C"
"What activities can be monitored by a user directly from Snowsight's Activity tab without using the Account_Usage views? (Choose two.)","A. Login history","B. Query history  ","C. Copy history  ","D. Event usage history","E. Virtual warehouse metering history","","B,C"
"What can a Snowflake user do with the information included in the details section of a Query Profile?","A. Determine the total duration of the query.  ","B. Determine the role of the user who ran the query.","C. Determine the source system that the queried table is from.","D. Determine if the query was on structured or semi-structured data.","","","A"
"How can a Snowflake user access a JSON object, given the following table? (Choose two.)","A. src:salesperson.name","B. src:salesPerson.name  ","C. src:salesPerson.Name","D. SRC:salesPerson.name  ","E. SRC:salesPerson.Name","","B,D"
"Which term is used to describe information about disk usage for operations where intermediate results cannot be accommodated in a Snowflake virtual warehouse memory?","A. Pruning","B. Spilling","C. Join explosion","D. Queue overloading","","","B"
"There are two Snowflake accounts in the same cloud provider region: one is production and the other is non-production.How can data be easily transferred from the production account to the non-production account?","A. Clone the data from the production account to the non-production account.","B. Create a data share from the production account to the non-production account.  ","C. Create a subscription in the production account and have it publish to the non-production account.","D. Create a reader account using the production account and link the reader account to the non-production account.","","","B"
"A user is unloading data to a stage using this command:copy into @message from (select object_construct('id', 1, 'first_name', 'Snowflake', 'last_name', 'User', 'city', 'Bozeman')) file_format = (type = json)What will the output file in the stage be?","A. A single compressed JSON file with a single VARIANT column  ","B. Multiple compressed JSON files with a single VARIANT column","C. A single uncompressed JSON file with multiple VARIANT columns","D. Multiple uncompressed JSON files with multiple VARIANT columns","","","A"
"A JSON file that contains lots of dates and arrays needs to be processed in Snowflake. The user wants to ensure optimal performance while querying the data.How can this be achieved?","A. Flatten the data and store it in structured data types in a flattened table. Query the table.  ","B. Store the data in a table with a VARIANT data type. Query the table.","C. Store the data in a table with a VARIANT data type and include STRIP_NULL_VALUES while loading the table. Query the table.","D. Store the data in an external stage and create views on top of it. Query the views.","","","A"
"When referring to User-Defined Function (UDF) names in Snowflake, what does the term overloading mean?","A. There are multiple SQL UDFs with the same names and the same number of arguments.","B. There are multiple SQL UDFs with the same names and the same number of argument types.","C. There are multiple SQL UDFs with the same names but with a different number of arguments or argument types.","D. There are multiple SQL UDFs with different names but the same number of arguments or argument types.","","","C"
"Which key governance feature in Snowflake allows users to identify data objects that contain sensitive data and their related objects?","A. Object tagging","B. Data classification  ","C. Row access policy","D. Column-level security","","","B"
"What can a Snowflake user do in the Admin area of Snow right?","A. Analyze query performance.","B. Write queries and execute them.","C. Provide an overview of the listings in the Snowflake Marketplace.","D. Connect to Snowflake partners to explore extended functionality.  ","","","D"
"Which function generates a Snowflake hosted file URL to a staged file using the stage name and relative file path as inputs?","A. BUILD_STAGE_FILE_URL  ","B. BUILD_SCOPED_FILE_URL","C. GET_PRESIGNED_URL","D. GET_STAGE_LOCATION","","","A"
"What is the purpose of using the OBJECT_CONSTRUCT function with the COPY INTO command?","A. Reorder the rows in a relational table and then unload the rows into a file.","B. Convert the rows in a relational table to a single VARIANT column and then unload the rows into a file.","C. Reorder the data columns according to a target table definition and then unload the rows into the table.","D. Convert the rows in a source file to a single VARIANT column and then load the rows from the file to a variant table.","","","B"
"Which URL provides access to files in Snowflake without authorization?","A. File URL","B. Scoped URL","C. Pre-signed URL","D. Scoped file URL","","","C"
"What type of NULL values are supported in semi-structured data? (Choose two.)","A. Avro","B. JSON  ","C. ORC","D. Parquet","E. SQL  ","","B,E"
"What are characteristics of transient tables in Snowflake? (Choose two.)","A. Transient tables have a Fail-safe period of 7 days.","B. Transient tables can be cloned to permanent tables.","C. Transient tables persist until they are explicitly dropped.  ","D. Transient tables can be altered to make them permanent tables.","E. Transient tables have Time Travel retention periods of 0 or 1 day.  ","","C,E"
"The INFORMATION_SCHEMA included in each database contains which objects? (Choose two.)","A. Views for all the objects contained in the database  ","B. Views for all the objects contained in the Snowflake account","C. Views for historical and usage data across the Snowflake account","D. Table functions for historical and usage data across the Snowflake account  ","E. Table functions for account-level objects, such as roles, virtual warehouses, and databases","","A,D"
"The use of which technique or tool will improve Snowflake query performance on very large tables?","A. Indexing","B. Clustering keys","C. Multi-clustering","D. Materialized views","","","B"
"Which Snowflake layer is associated with virtual warehouses?","A. Cloud services","B. Query processing","C. Elastic memory","D. Database storage","","","B"
"Which MINIMUM set of privileges is required to temporarily bypass an active network policy by configuring the user object property MINS_TO_BYPASS_NETWORK_POLICY?","A. Only while in the ACCOUNTADMIN role","B. Only while in the SECURITYADMIN role","C. Only the role with the OWNERSHIP privilege on the network policy","D. Only Snowflake Support can set the value for this object property  ","","","D"
"What authentication method does the Kafka connector use within Snowflake?","A. Key pair authentication  ","B. Multi-Factor Authentication (MFA)","C. OAuth","D. Username and password","","","A"
"What is the purpose of the Snowflake SPLIT_TO_TABLE function?","A. To count the number of characters in a string","B. To split a string into an array of sub-strings","C. To split a string and flatten the results into rows  ","D. To split a string and flatten the results into columns","","","C"
"What feature of Snowflake Continuous Data Protection can be used for maintenance of historical data?","A. Access control","B. Fail-safe","C. Network policies","D. Time Travel","","","D"
"What aspect of an executed query is represented by the remote disk I/O statistic of the Query Profile in Snowflake?","A. Time spent scanning the table partitions to filter data based on the predicate","B. Time spent caching the data to remote storage in order to buffer the data being extracted and exported","C. Time spent reading and writing data from and to remote storage when the data being accessed does not fit into the executing virtual warehouse node memory","D. Time spent reading and writing data from and to remote storage when the data being accessed does not fit into either the virtual warehouse memory or the local disk  ","","","C"
"What action can a user take to address query concurrency issues?","A. Enable the search optimization service.","B. Enable the query acceleration service.","C. Add additional clusters to the virtual warehouse.","D. Resize the virtual warehouse to a larger instance size.","","","C"
"What does the client redirect feature in Snowflake enable?","A. A redirect of client connections to Snowflake accounts in the same regions for business continuity.","B. A redirect of client connections to Snowflake accounts in different regions for business continuity.","C. A redirect of client connections to Snowflake accounts in different regions for data replication.","D. A redirect of client connections to Snowflake accounts in the same regions for data replication.","","","B"
"Which Snowflake feature can be used to find sensitive data in a table or column?","A. Masking policies","B. Data classification","C. Row level policies","D. External functions","","","B"
"Which Snowflake feature allows a user to track sensitive data for compliance, discovery, protection, and resource usage?","A. Tags","B. Comments","C. Internal tokenization","D. Row access policies","","","A"
"Snowflake’s hierarchical key mode includes which keys? (Choose two.)","A. Account master keys  ","B. Database master keys","C. File keys  ","D. Secure view keys","E. Schema master keys","","A,C"
"What can the Snowflake SCIM API be used to manage? (Choose two.)","A. Integrations","B. Network policies","C. Session policies","D. Roles  ","E. Users  ","","D,E"
"Which privilege is required to use the search optimization service in Snowflake?","A. GRANT SEARCH OPTIMIZATION ON SCHEMA TO ROLE","B. GRANT SEARCH OPTIMIZATION ON DATABASE TO ROLE","C. GRANT ADD SEARCH OPTIMIZATION ON SCHEMA TO ROLE  ","D. GRANT ADD SEARCH OPTIMIZATION ON DATABASE TO ROLE","","","C"
"What is generally the FASTEST way to bulk load data files from a stage?","A. Specifying a list of specific files to load  ","B. Loading by path (internal stages) / prefix","C. Using the Snowpipe REST API","D. Using pattern matching to identify specific files by pattern","","","A"
"How does a Snowflake user extract the URL of a directory table on an external stage for further transformation?","A. Use the SHOW STAGES command.","B. Use the DESCRIBE STAGE command.","C. Use the GET_ABSOLUTE_PATH function.","D. Use the GET_STAGE_LOCATION function.  ","","","D"
"A Snowflake user needs to share unstructured data from an internal stage to a reporting tool that does not have Snowflake access.Which file function should be used?","A. BUILD_SCOPED_FILE_URL","B. BUILD_STAGE_FILE_URL","C. GET_PRESIGNED_URL  ","D. GET_STAGE_LOCATION","","","C"
"The use of which Snowflake table type will reduce costs when working with ETL workflows?","A. External","B. Permanent","C. Temporary  ","D. Transient","","","C"
"What is one of the characteristics of data shares?","A. Data shares support full DML operations.","B. Data shares work by copying data to consumer accounts.","C. Data shares utilize secure views for sharing view objects.  ","D. Data shares are cloud agnostic and can cross regions by default.","","","C"
"What is the MINIMUM configurable idle timeout value for a session policy in Snowflake?","A. 2 minutes","B. 5 minutes  ","C. 10 minutes","D. 15 minutes","","","B"
"Which command is used to unload data from a Snowflake table to an external stage?","A. COPY INTO","B. COPY INTO followed by GET","C. GET","D. COPY INTO followed by PUT","","","A"
"What is a characteristic of materialized views in Snowflake?","A. Materialized views do not allow joins.  ","B. Clones of materialized views can be created directly by the user.","C. Multiple tables can be joined in the underlying query of a materialized view.","D. Aggregate functions can be used as window functions in materialized views.","","","A"
"Which Snowflake URL type allows users or applications to download or access files directly from Snowflake stage without authentication?","A. Directory","B. File","C. Pre-signed","D. Scoped","","","C"
"Which SQL command will download all the data files from an internal table stage named TBL_EMPLOYEE to a local window directory or folder on a client machine in a folder named folder with space within the C drive?","A. GET @%TBL_EMPLOYEE 'file://C:\folder with space\';  ","B. GET @%TBL_EMPLOYEE 'file://C:/folder with space/';  ","C. PUT 'file://C:\folder with space\*' @%TBL_EMPLOYEE;","D. PUT 'file://C:/folder with space/*' @%TBL_EMPLOYEE;","","","B"
"How can the COPY command be used to unload data from a table to an internal stage?","A. COPY INTO","B. COPY INTO","C. COPY INTO with single-true","D. COPY INTO S3://","","","A"
"How does a Snowflake stored procedure compare to a User-Defined Function (UDF)?","A. A single executable statement can call only two stored procedures. In contrast, a single SQL statement can call multiple UDFs.","B. A single executable statement can call only one stored procedure. In contrast, a single SQL statement can call multiple UDFs.","C. A single executable statement can call multiple stored procedures. In contrast, multiple SQL statements can call the same UDFs.","D. Multiple executable statements can call more than one stored procedure. In contrast, a single SQL statement can call multiple UDFs.","","","B"
"Which command should be used to unload all the rows from a table into one or more files in a named stage?","A. COPY INTO  ","B. GET","C. INSERT INTO","D. PUT","","","A"
"Which command is used to unload data from a table or move a query result to a stage?","A. COPY INTO","B. GET","C. MERGE","D. PUT","","","A"
"What privileges are necessary for a consumer in the Data Exchange to make a request and receive data? (Choose two.)","A. CREATE DATABASE  ","B. IMPORT SHARE  ","C. OWNERSHIP","D. REFERENCE_USAGE","E. USAGE","","A,B"
"What are benefits of using Snowpark with Snowflake? (Choose two.)","A. Snowpark uses a Spark engine to generate optimized SQL query plans.","B. Snowpark automatically sets up Spark within Snowflake virtual warehouses.","C. Snowpark does not require that a separate cluster be running outside of Snowflake.  ","D. Snowpark allows users to run existing Spark code on virtual warehouses without the need to reconfigure the code.","E. Snowpark executes as much work as possible in the source databases for all operations including User-Defined Functions (UDFs).  ","","C,E"
"What are Snowflake best practices when assigning the ACCOUNTADMIN role to users? (Choose two.)","A. The ACCOUNTADMIN role should be assigned to at least two users.","B. The ACCOUNTADMIN role should be used to create Snowflake objects.","C. The ACCOUNTADMIN role should be used for running automated scripts.","D. The ACCOUNTADMIN role should be given to any user who needs a high level of authority.","E. All users assigned the ACCOUNTADMIN role should use Multi-Factor Authentication (MFA).","","A,E"
"What is a recommended approach for optimizing query performance in Snowflake?","A. Use subqueries whenever possible.","B. Use a large number of joins to combine data from multiple tables.","C. Select all columns from tables, even if they are not needed in the query.","D. Use a smaller number of larger tables rather than a larger number of smaller tables.","","","D"
"When using SnowSQL, which configuration options are required when unloading data from a SQL query run on a local machine? (Choose two.)","A. echo","B. quiet","C. output_file","D. output_format","E. force_put_overwrite","","C,D"
"Which Snowflake view is used to support compliance auditing?","A. ACCESS_HISTORY","B. COPY_HISTORY","C. QUERY_HISTORY","D. ROW_ACCESS_POLICIES","","","A"
"How can a Snowflake user load duplicate files with a COPY INTO command?","A. The COPY INTO options should be set to PURGE = FALSE","B. The COPY INTO options should be set to FORCE = TRUE  ","C. The COPY INTO options should be set to RETURN_FAILED_ONLY = FALSE","D. The COPY INTO options should be set to ON_ERROR = CONTINUE","","","B"
"What is an advantage of using a multi-cluster virtual warehouse as compared to a single-cluster virtual warehouse in Snowflake?","A. A user can auto-suspend a running warehouse due to inactivity.","B. A user can specify a warehouse size while configuring it for use.","C. A user can resize a warehouse at any time whether running or not.","D. A user can specify the maximum and minimum number of cluster(s).","","","D"
"Which statement describes Snowflake tables?","A. Snowflake tables are logical representations of underlying physical data.","B. Snowflake tables are the physical instantiation of data loaded into Snowflake.","C. Snowflake tables require that clustering keys be defined to perform optimally.","D. Snowflake tables are owned by a user.","","","A"
"Which type of charts are supported by Snowsight? (Choose two.)","A. Flowcharts","B. Gantt charts","C. Line charts","D. Pie charts S3","E. Scatterplots","","C,E"
"A user wants to upload a file to an internal Snowflake stage using a PUT command.Which tools and/or connectors could be used to execute this command? (Choose two.)","A. SnowCD","B. SnowSQL  ","C. SQL API","D. Python connector  ","E. Snowsight worksheets","","B,D"
"Which Snowflake table is an implicit object layered on a stage, where the stage can be either internal or external?","A. Directory table","B. Temporary table","C. Transient table","D. A table with a materialized view","","","A"
"The Query Profile in the image is for a query executed in Snowsight. Four of the key nodes are highlighted in yellow.Which highlighted node will be the MOST expensive?","A. Aggregate[1]","B. Join[5]","C. TableScan[2]","D. TableScan[3]","","","D"
